step,loss
0,4.171323776245117
20,4.019688606262207
40,3.888415813446045
60,3.6324050426483154
80,3.463757276535034
100,3.4549484252929688
120,3.1534793376922607
140,3.1146938800811768
160,3.0232605934143066
180,3.1489741802215576
200,3.045102596282959
220,2.990068197250366
240,3.0168683528900146
260,2.972168445587158
280,3.025702714920044
300,2.7939610481262207
320,3.025017738342285
340,2.5411832332611084
360,2.5498275756835938
380,2.8846535682678223
400,2.8335540294647217
420,2.8604743480682373
440,3.0934948921203613
460,2.6648595333099365
480,2.623429298400879
500,3.0458569526672363
520,3.3829917907714844
540,2.6492950916290283
560,1.370874047279358
580,1.167452096939087
600,3.0652570724487305
620,3.0035433769226074
640,2.4241020679473877
660,2.8839831352233887
680,2.9883437156677246
700,2.7813236713409424
720,1.0447704792022705
740,2.5058348178863525
760,2.9668221473693848
780,2.420633316040039
800,3.0996041297912598
820,2.527323007583618
840,2.567797899246216
860,2.4734458923339844
880,2.528296947479248
900,2.8689191341400146
920,0.9645845890045166
940,2.61662220954895
960,0.5543190240859985
980,2.239377975463867
